,esmc_model__Ridge,esmc_model,esmc_model__ElasticNet,esmc_model__SVR_rbf,prost_t5_model__Ridge,prost_t5_model,prost_t5_model__ElasticNet,prost_t5_model__SVR_rbf,prot_t5_model__Ridge,prot_t5_model,prot_t5_model__ElasticNet,prot_t5_model__SVR_rbf,protbert_model__Ridge,protbert_model,protbert_model__ElasticNet,protbert_model__SVR_rbf,ankh_model__Ridge,ankh_model,ankh_model__ElasticNet,ankh_model__SVR_rbf
esmc_model__Ridge,1.0,0.5776247319011286,0.8421372314616222,0.47365862663056846,0.5517052846243099,0.5424826834499489,0.5909716606307795,0.4247863999156147,0.5384691114939699,0.5317499384691113,0.6430294293449597,0.4461455293414437,0.6245420343869764,0.6039450089659294,0.6463230899054182,0.45175978341127243,0.6396021588551738,0.5911922928167082,0.6839378010618473,0.42880085088428677
esmc_model,0.5776247319011286,1.0,0.7589474702014697,0.8003612742167996,0.4867647058823529,0.8348537322878942,0.6952779438135086,0.7436095777223023,0.38545937203333214,0.8946195633064941,0.6227752188741605,0.7616539502830421,0.5741491157132308,0.8834780774234379,0.7775842973172532,0.7729835448823881,0.4918858338314405,0.8807610491895502,0.7249085826799339,0.7624160542878239
esmc_model__ElasticNet,0.8421372314616222,0.7589474702014697,1.0,0.6077625610913822,0.6014433388418128,0.6999490172638092,0.7687018740550613,0.5481830807636862,0.5302037551422242,0.7013853240040785,0.7477725818360816,0.5717845715692134,0.6683581800921204,0.7697689954642944,0.8140958475440385,0.5817868570022151,0.6372297035969199,0.7526968109419498,0.8307970887099609,0.5561645160156112
esmc_model__SVR_rbf,0.47365862663056846,0.8003612742167996,0.6077625610913822,1.0,0.44318940965507536,0.8191044618684293,0.6296411870187405,0.9778014134524101,0.3915632361731303,0.8380419113251995,0.5458088674800463,0.9854672831475687,0.44808902640554127,0.7698604127843605,0.6214294504412643,0.971928729650856,0.43422611722513266,0.7866530712703491,0.6235346858408635,0.9785767026475861
prost_t5_model__Ridge,0.5517052846243099,0.4867647058823529,0.6014433388418128,0.44318940965507536,1.0,0.5353872929925109,0.8514952005906965,0.4311539678632959,0.5773065293062831,0.5127122815653458,0.698495130269681,0.43947821806546883,0.5484265672796315,0.49816022643366964,0.5713969269716255,0.4307285257199114,0.6284272704897859,0.5654433740023206,0.6905005098273619,0.42643454871488334
prost_t5_model,0.5424826834499489,0.8348537322878942,0.6999490172638092,0.8191044618684293,0.5353872929925109,1.0,0.7773953095882704,0.8329796772265391,0.44033437642839557,0.8676285995569776,0.6541260855806758,0.8210127984248092,0.5433230195844028,0.8602431349108681,0.7345636580992229,0.8048099574557857,0.49749041876164685,0.9021316057803874,0.7393120846665024,0.8241192292816707
prost_t5_model__ElasticNet,0.5909716606307795,0.6952779438135086,0.7687018740550613,0.6296411870187405,0.8514952005906965,0.7773953095882704,1.0,0.622907949790795,0.5559227875250518,0.7318668471572729,0.7951750993284343,0.6288905101789669,0.6091364579304523,0.7155769839316478,0.764413171126191,0.6120389578425512,0.6419561548468758,0.7807223726310607,0.8504975211842059,0.6142654969937765
prost_t5_model__SVR_rbf,0.4247863999156147,0.7436095777223023,0.5481830807636862,0.9778014134524101,0.4311539678632959,0.8329796772265391,0.622907949790795,1.0,0.37382036496607013,0.8100567842199641,0.5213679195527583,0.9869870960936675,0.4085308181850146,0.7394237192785063,0.5770419464857073,0.9639982771351218,0.4189497556344713,0.7651559368517281,0.595643613093773,0.9875742765725536
prot_t5_model__Ridge,0.5384691114939699,0.38545937203333214,0.5302037551422242,0.3915632361731303,0.5773065293062831,0.44033437642839557,0.5559227875250518,0.37382036496607013,1.0,0.4019136106325375,0.7867594318061952,0.390622692591681,0.4830675784958335,0.4215393270278822,0.4761638128054569,0.3845434408072852,0.5886501881087163,0.4469761963362751,0.5559025702331142,0.3673209451144474
prot_t5_model,0.5317499384691113,0.8946195633064941,0.7013853240040785,0.8380419113251995,0.5127122815653458,0.8676285995569776,0.7318668471572729,0.8100567842199641,0.4019136106325375,1.0,0.6541260855806758,0.8329119932491824,0.5514327906894976,0.8386431560071727,0.7248962765022325,0.82084578601315,0.4864403501986569,0.8943286101051298,0.7423446784571568,0.8204695685805702
prot_t5_model__ElasticNet,0.6430294293449597,0.6227752188741605,0.7477725818360816,0.5458088674800463,0.698495130269681,0.6541260855806758,0.7951750993284343,0.5213679195527583,0.7867594318061952,0.6541260855806758,1.0,0.5440508420941599,0.6152895467810554,0.6334921416265251,0.702263457684329,0.5330113216834851,0.6795233993178862,0.6969674062093456,0.8164920361450019,0.5122393727365422
prot_t5_model__SVR_rbf,0.4461455293414437,0.7616539502830421,0.5717845715692134,0.9854672831475687,0.43947821806546883,0.8210127984248092,0.6288905101789669,0.9869870960936675,0.390622692591681,0.8329119932491824,0.5440508420941599,1.0,0.4280730283745297,0.7454818747582714,0.591025280405049,0.9614904539221546,0.4237307056713898,0.7792579374846171,0.61277029640308,0.9864324390844201
protbert_model__Ridge,0.6245420343869764,0.5741491157132308,0.6683581800921204,0.44808902640554127,0.5484265672796315,0.5433230195844028,0.6091364579304523,0.4085308181850146,0.4830675784958335,0.5514327906894976,0.6152895467810554,0.4280730283745297,1.0,0.6003331458106256,0.8498048591821665,0.4559948665658732,0.5660490137477585,0.6122349776730776,0.6649344256531063,0.4172233747055307
protbert_model,0.6039450089659294,0.8834780774234379,0.7697689954642944,0.7698604127843605,0.49816022643366964,0.8602431349108681,0.7155769839316478,0.7394237192785063,0.4215393270278822,0.8386431560071727,0.6334921416265251,0.7454818747582714,0.6003331458106256,1.0,0.8156912555817305,0.7846744136985337,0.4856606659400162,0.859112724587743,0.7230688091136036,0.7450740128687457
protbert_model__ElasticNet,0.6463230899054182,0.7775842973172532,0.8140958475440385,0.6214294504412643,0.5713969269716255,0.7345636580992229,0.764413171126191,0.5770419464857073,0.4761638128054569,0.7248962765022325,0.702263457684329,0.591025280405049,0.8498048591821665,0.8156912555817305,1.0,0.629447804226293,0.5712061812172567,0.7735329278154776,0.7933994936886888,0.5810730986955451
protbert_model__SVR_rbf,0.45175978341127243,0.7729835448823881,0.5817868570022151,0.971928729650856,0.4307285257199114,0.8048099574557857,0.6120389578425512,0.9639982771351218,0.3845434408072852,0.82084578601315,0.5330113216834851,0.9614904539221546,0.4559948665658732,0.7846744136985337,0.629447804226293,1.0,0.42392584648922327,0.7679037305298687,0.6038360113920045,0.9612513624696739
ankh_model__Ridge,0.6396021588551738,0.4918858338314405,0.6372297035969199,0.43422611722513266,0.6284272704897859,0.49749041876164685,0.6419561548468758,0.4189497556344713,0.5886501881087163,0.4864403501986569,0.6795233993178862,0.4237307056713898,0.5660490137477585,0.4856606659400162,0.5712061812172567,0.42392584648922327,1.0,0.5682289652262578,0.8197505361977426,0.41434636616152737
ankh_model,0.5911922928167082,0.8807610491895502,0.7526968109419498,0.7866530712703491,0.5654433740023206,0.9021316057803874,0.7807223726310607,0.7651559368517281,0.4469761963362751,0.8943286101051298,0.6969674062093456,0.7792579374846171,0.6122349776730776,0.859112724587743,0.7735329278154776,0.7679037305298687,0.5682289652262578,1.0,0.8158661791076262,0.7789845645371118
ankh_model__ElasticNet,0.6839378010618473,0.7249085826799339,0.8307970887099609,0.6235346858408635,0.6905005098273619,0.7393120846665024,0.8504975211842059,0.595643613093773,0.5559025702331142,0.7423446784571568,0.8164920361450019,0.61277029640308,0.6649344256531063,0.7230688091136036,0.7933994936886888,0.6038360113920045,0.8197505361977426,0.8158661791076262,1.0,0.6010574522696107
ankh_model__SVR_rbf,0.42880085088428677,0.7624160542878239,0.5561645160156112,0.9785767026475861,0.42643454871488334,0.8241192292816707,0.6142654969937765,0.9875742765725536,0.3673209451144474,0.8204695685805702,0.5122393727365422,0.9864324390844201,0.4172233747055307,0.7450740128687457,0.5810730986955451,0.9612513624696739,0.41434636616152737,0.7789845645371118,0.6010574522696107,1.0
