feature,col,p_value,median_diff_wrong_minus_right,median_wrong,median_right
cdrL3_len,cdrL3_len_CDR_feature,0.019126832669801645,0.0,9.0,9.0
cdrL1_charge,cdrL1_charge_CDR_feature,0.02213794597938691,0.0,0.0,0.0
cdrH1_hyd_frac,cdrH1_hyd_frac_CDR_feature,0.04986309756175505,0.09090909090909088,0.4545454545454545,0.3636363636363636
cdrL2_oxidn,cdrL2_oxidn_CDR_feature,0.05802958436334624,0.0,0.0,0.0
cdrL3_isom,cdrL3_isom_CDR_feature,0.11121655740289148,0.0,0.0,0.0
cdrH3_gravy,cdrH3_gravy_CDR_feature,0.11365214770902368,0.1671120107962214,-0.5559649122807018,-0.7230769230769232
cdrL3_deamid,cdrL3_deamid_CDR_feature,0.11381631259982859,0.0,0.0,0.0
cdrL1_len,cdrL1_len_CDR_feature,0.13169216144433027,1.5,10.5,9.0
cdrL3_charge,cdrL3_charge_CDR_feature,0.13225288556230327,0.0,0.0,0.0
VL_unpaired_cys,VL_unpaired_cys_CDR_feature,0.1365283297819677,0.0,0.0,0.0
VH_gravy,VH_gravy_CDR_feature,0.14516456714314058,0.04401960784313691,-0.2633333333333335,-0.3073529411764704
cdrL1_gravy,cdrL1_gravy_CDR_feature,0.16496487056221953,-0.17877233877233867,-0.4975757575757575,-0.31880341880341884
VL_isom_total,VL_isom_total_CDR_feature,0.18986898743450054,0.0,0.0,0.0
cdrH1_gravy,cdrH1_gravy_CDR_feature,0.20827030202950159,0.08598484848484855,-0.1958333333333333,-0.28181818181818186
VL_deamid_total,VL_deamid_total_CDR_feature,0.2120578871218579,0.0,0.0,0.0
cdrH2_charge,cdrH2_charge_CDR_feature,0.21566462449175983,0.0,0.0,0.0
VL_hyd_frac,VL_hyd_frac_CDR_feature,0.23872409179554133,-0.0061717510139305265,0.3396226415094339,0.3457943925233644
cdrH2_hyd_frac,cdrH2_hyd_frac_CDR_feature,0.291620391419275,-0.02002708978328177,0.2941176470588235,0.31414473684210525
cdrL3_hyd_frac,cdrL3_hyd_frac_CDR_feature,0.2989333167811803,0.0038461538461538325,0.3205128205128205,0.31666666666666665
cdrL1_hyd_frac,cdrL1_hyd_frac_CDR_feature,0.3063264401570398,-0.01461038961038963,0.36038961038961037,0.375
VL_oxidn_total,VL_oxidn_total_CDR_feature,0.3208373822192846,1.0,3.0,2.0
VH_charge,VH_charge_CDR_feature,0.39005889264437243,0.0,1.0,1.0
cdrH3_oxidn,cdrH3_oxidn_CDR_feature,0.3947787382387561,0.0,1.0,1.0
cdrL2_hyd_frac,cdrL2_hyd_frac_CDR_feature,0.3981555244596936,0.0,0.375,0.375
Unnamed: 0,Unnamed: 0_CDR_feature,0.4496818584680742,12.5,131.0,118.5
total_oxidn,total_oxidn_CDR_feature,0.46360492875436576,0.0,9.0,9.0
total_deamid,total_deamid_CDR_feature,0.46409470195726,1.0,2.0,1.0
cdrL3_gravy,cdrL3_gravy_CDR_feature,0.480245695765404,0.07727272727272738,-1.072727272727273,-1.1500000000000004
cdrH1_isom,cdrH1_isom_CDR_feature,0.48123033525825476,0.0,0.0,0.0
cdrH1_len,cdrH1_len_CDR_feature,0.5341281905918376,0.0,11.0,11.0
VL_gravy,VL_gravy_CDR_feature,0.5491161440650607,-0.008328016974154528,-0.33741576819407,-0.32908775121991546
cdrH2_gravy,cdrH2_gravy_CDR_feature,0.5738597562220342,-0.09779411764705892,-0.9764705882352942,-0.8786764705882353
cdrH3_isom,cdrH3_isom_CDR_feature,0.5746487379627723,0.0,0.0,0.0
cdrL2_deamid,cdrL2_deamid_CDR_feature,0.5791318553662379,0.0,0.0,0.0
cdrL3_oxidn,cdrL3_oxidn_CDR_feature,0.5981531424590042,0.0,0.0,0.0
cdrH3_hyd_frac,cdrH3_hyd_frac_CDR_feature,0.6010333349366273,0.0,0.5,0.5
VH_oxidn_total,VH_oxidn_total_CDR_feature,0.601674919174117,0.0,6.0,6.0
cdrH3_len,cdrH3_len_CDR_feature,0.6192683523351687,0.0,12.0,12.0
VL_glycan_total,VL_glycan_total_CDR_feature,0.6240794324896968,0.0,0.0,0.0
VH_unpaired_cys,VH_unpaired_cys_CDR_feature,0.6240794324896968,0.0,0.0,0.0
cdrL2_charge,cdrL2_charge_CDR_feature,0.6309791183719133,0.0,0.0,0.0
cdrH2_deamid,cdrH2_deamid_CDR_feature,0.6660232796027389,0.0,0.0,0.0
cdrH3_charge,cdrH3_charge_CDR_feature,0.6675039694273253,0.0,0.0,0.0
cdrH3_aromatic_frac,cdrH3_aromatic_frac_CDR_feature,0.6737577697828443,0.0,0.25,0.25
VH_isom_total,VH_isom_total_CDR_feature,0.6750561197089189,0.0,1.0,1.0
VH_deamid_total,VH_deamid_total_CDR_feature,0.6968003659038704,0.0,1.0,1.0
cdrH2_len,cdrH2_len_CDR_feature,0.713263179845542,0.0,17.0,17.0
cdrH3_deamid,cdrH3_deamid_CDR_feature,0.7346915843691642,0.0,0.0,0.0
cdrL2_isom,cdrL2_isom_CDR_feature,0.7346915843691642,0.0,0.0,0.0
cdrL2_gravy,cdrL2_gravy_CDR_feature,0.7624278027824951,0.025000000000000133,-0.6749999999999999,-0.7000000000000001
cdrH1_oxidn,cdrH1_oxidn_CDR_feature,0.787510596700989,0.0,1.0,1.0
cdrH1_deamid,cdrH1_deamid_CDR_feature,0.830730295380457,0.0,0.0,0.0
VH_hyd_frac,VH_hyd_frac_CDR_feature,0.858259097663633,0.0014957264957264904,0.3931623931623931,0.3916666666666666
cdrL1_deamid,cdrL1_deamid_CDR_feature,0.8646291176765533,0.0,0.0,0.0
cdrL1_isom,cdrL1_isom_CDR_feature,0.865710730998491,0.0,0.0,0.0
VH_glycan_total,VH_glycan_total_CDR_feature,0.8663472310565907,0.0,0.0,0.0
cdrH2_isom,cdrH2_isom_CDR_feature,0.8680092917392597,0.0,0.0,0.0
cdrL1_oxidn,cdrL1_oxidn_CDR_feature,0.877226194876552,0.0,0.0,0.0
VL_charge,VL_charge_CDR_feature,0.9028908683235506,0.0,1.0,1.0
cdrH1_charge,cdrH1_charge_CDR_feature,0.939036469930391,0.0,0.0,0.0
cdrH2_oxidn,cdrH2_oxidn_CDR_feature,0.9950179906790171,0.0,0.0,0.0
cdrL2_len,cdrL2_len_CDR_feature,1.0,0.0,8.0,8.0
cdrH3_glycan_sequon,cdrH3_glycan_sequon_CDR_feature,1.0,0.0,0.0,0.0
